"Cell","Label","Area","Mean_Fluor_Dapi","Mean_Fluor_Piwi","Mean_Fluor_Red","Dapi_Pos","Piwi_Status","Red_Pos","Dapi_Red_Pos"
115,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",55.136,2864.227,264.469,1848.769,"TRUE","Piwi_Neg","TRUE","Dapi+_Red+"
116,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",28.083,2203.389,337.574,69.767,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
117,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",33.442,2518.357,230.433,48.884,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
118,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",41.12,2315.063,198.221,120.048,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
119,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",185.659,2985.155,932.192,68.184,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
120,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",40.708,2405.242,261.058,65.008,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
121,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",33.03,2018.011,302.2,85.871,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
122,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",28.959,2143.742,373.915,46.829,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
123,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",95.535,2580.225,453.376,56.595,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
124,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",44.624,2400.965,279.535,56.426,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
125,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",20.096,1824.497,261.405,84.828,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
126,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",21.694,2757.15,731.423,1793.945,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
127,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",40.862,2337.275,352.536,2614.747,"TRUE","Piwi_Lo","TRUE","Dapi+_Red+"
128,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",26.847,1938.624,342.998,40.25,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
129,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",36.276,3025.638,190.422,190.418,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
130,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",22.312,2023.933,248.637,51.776,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
131,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",47.922,2593.778,197.301,70.114,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
132,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",30.196,2087.543,119.287,41.532,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
133,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.979,2014.464,210.581,48.328,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
134,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",54.981,2798.062,335.023,79.864,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
135,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",69.873,1502.004,154.645,4367.523,"TRUE","Piwi_Neg","TRUE","Dapi+_Red+"
136,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.053,1651.737,213.968,65.444,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
137,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",27.362,1755.552,1821.537,3736.861,"TRUE","Piwi_Hi","TRUE","Dapi+_Red+"
138,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",37.874,2232.947,235.117,50.049,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
139,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.309,2449.545,163.415,52.407,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
140,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",23.343,2036.799,267.031,51.212,"TRUE","Piwi_Neg","FALSE","Dapi+_Red-"
141,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",29.423,2338.739,323.156,58.415,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
142,"egfp-prog1-dig-PIWI1-Cy5-20x-SECT1",32.824,2039.9,327.697,80.058,"TRUE","Piwi_Lo","FALSE","Dapi+_Red-"
